"Reporter Name"	"LE_PO_rawData_r1"	"LE_PO_rawData_r2"
"tcruzi-11840"	67.26	81.65
"tcruzi-12984"	181.32	148.68
"tcruzi-13922"	83.4	64.81
"tcruzi-19981"	129.55	106.6
"tcruzi-20087"	183.63	95.9
"tcruzi-20377"	81.39	93.51
"tcruzi-21031"	124.38	95.77
"tcruzi-21625"	295.09	280.51
"tcruzi-22236"	283.09	234.61
"tcruzi-22421"	234.12	165.71
"tcruzi-22486"	84.43	90.56
"tcruzi-22732"	133.11	75.58
"tcruzi-23056"	121.46	98.22
"tcruzi-23252"	69.74	55.04
"tcruzi-28344"	175.93	184.13
"tcruzi-28355"	89.08	86.19
"tcruzi-29043"	356.24	73.32
"tcruzi-33515"	154.01	148.95
"tcruzi-36290"	71.2	54.27
"tcruzi-37373"	319.13	316.69
"tcruzi-37894"	58.25	61.25
"tcruzi-39216"	65.44	75.91
"tcruzi-39860"	238.69	135.16
"tcruzi-40101"	370.4	344.39
"tcruzi-40353"	209.9	207.41
"tcruzi-40405"	190.78	128.99
"tcruzi-42465"	182.25	150.52
"tcruzi-43795"	673.21	272.53
"tcruzi-43847"	103.09	91.08
"tcruzi-45055"	129.68	116.24
"tcruzi-45274"	407.59	370.38
"tcruzi-46089"	102.51	92.8
"tcruzi-47363"	1175.79	885.99
"tcruzi-47364"	1083.12	878.17
"tcruzi-47365"	1195.25	1115.06
"tcruzi-47367"	1038.72	714.38
"tcruzi-47368"	730.41	540.18
"tcruzi-47379"	999.22	768.38
"tcruzi-48560"	4982.32	2573.84
"tcruzi-49733"	84.93	86.43
"tcruzi-49734"	225.74	213.12
"tcruzi-49967"	93.55	83.49
"tcruzi-50169"	279.95	252.59
"tcruzi-52591"	305.18	228.25
"tcruzi-52708"	65.9	59.06
"tcruzi-53523"	313.02	198.8
"tcruzi-53827"	55.68	49.9
"tcruzi-54198"	810.07	520.16
"tcruzi-55058"	509.17	426.81
"tcruzi-56112"	132.7	165.44
"tcruzi-56254"	371.02	205.56
"tcruzi-58173"	271.11	149.71
