"Reporter Name"	"US_NE_rawData_r1"	"US_NE_rawData_r2"
"pos-controls-5149"	113.38	102.37
"pos-controls-5150"	134.98	106.69
"pos-controls-5151"	154.42	136.12
"pos-controls-5152"	105.8	92.68
"pos-controls-5257"	96.01	121.69
"pos-controls-5258"	132.65	127.51
"pos-controls-5259"	123.33	121.25
"pos-controls-5260"	102.42	100.95
"pos-controls-5261"	142.4	166.4
"pos-controls-5262"	158.4	196.2
"pos-controls-5263"	149.97	174.66
"pos-controls-5264"	161.59	170.37
"pos-controls-5313"	922.55	862
"pos-controls-5314"	949.53	991.49
"pos-controls-5315"	816.77	684.21
"pos-controls-5316"	907.32	756.07
"pos-controls-5401"	133.67	95.75
"pos-controls-5402"	125.65	117.13
"pos-controls-5403"	120	94.75
"pos-controls-5404"	132.12	129
"pos-controls-5465"	133.83	102.7
"pos-controls-5466"	128.88	111.8
"pos-controls-5467"	164.82	127.86
"pos-controls-5468"	174.95	130.32
"pos-controls-5469"	149.29	134.7
"pos-controls-5470"	82.3	119.83
"pos-controls-5471"	122.37	152.84
"pos-controls-5472"	166.92	142.87
"pos-controls-5481"	158.86	153.54
"pos-controls-5482"	154.89	155.56
"pos-controls-5483"	173.56	164.16
"pos-controls-5484"	178.42	149.29
"pos-controls-5485"	180.3	171.55
"pos-controls-5486"	150.39	161.49
"pos-controls-5487"	216.14	189.62
"pos-controls-5488"	202.41	174.36
"pos-controls-5549"	136.31	105.13
"pos-controls-5550"	148.2	107.2
"pos-controls-5551"	92.42	131.59
"pos-controls-5552"	92	101.93
"pos-controls-5565"	131.35	129.23
"pos-controls-5566"	120.37	128.76
"pos-controls-5567"	144.25	196.84
"pos-controls-5568"	168.85	157
"pos-controls-5577"	123.23	158.72
"pos-controls-5578"	189.93	128.32
"pos-controls-5579"	167.75	148.62
"pos-controls-5580"	148.76	83.43
"pos-controls-5581"	214.48	148.97
"pos-controls-5582"	179.56	177.67
"pos-controls-5583"	183.91	173.1
"pos-controls-5584"	216.07	187.13
"pos-controls-5613"	204.28	157.79
"pos-controls-5614"	197.01	137.4
"pos-controls-5615"	182.9	144.64
"pos-controls-5616"	158.99	119.87
"pos-controls-5617"	187.71	84.86
"pos-controls-5618"	83.28	93.61
"pos-controls-5619"	95.62	97.15
"pos-controls-5620"	104.98	95.77
"pos-controls-5753"	47.49	58.42
"pos-controls-5754"	58.33	58.74
"pos-controls-5755"	71.19	57.99
"pos-controls-5756"	65.81	65.32
"pos-controls-5781"	75.13	70.16
"pos-controls-5782"	70.36	57.68
"pos-controls-5783"	67.93	64.34
"pos-controls-5784"	78.35	56.71
"pos-controls-5785"	49.67	45.47
"pos-controls-5786"	49.48	49.32
"pos-controls-5787"	49.32	53.36
"pos-controls-5788"	56.94	55.12
"pos-controls-5845"	58.54	64.71
"pos-controls-5846"	123.9	66.03
"pos-controls-5847"	68.21	57.81
"pos-controls-5848"	58.89	58.55
"pos-controls-5869"	184.78	148.31
"pos-controls-5870"	159.48	161.79
"pos-controls-5871"	182.16	139.81
"pos-controls-5872"	235.61	169.69
"pos-controls-5925"	89.5	101.05
"pos-controls-5926"	130.57	92.96
"pos-controls-5927"	92.56	104.52
"pos-controls-5928"	139.12	125.66
"pos-controls-5965"	52.8	70.44
"pos-controls-5966"	59.95	70.93
"pos-controls-5967"	80.16	68.38
"pos-controls-5968"	93.37	68.91
"pos-controls-5969"	62.41	76.32
"pos-controls-5970"	82.45	73.18
"pos-controls-5971"	81.89	64.67
"pos-controls-5972"	64.64	66.6
"pos-controls-5993"	110.31	130.89
"pos-controls-5994"	168.99	132
"pos-controls-5995"	139.78	143.56
"pos-controls-5996"	160.36	166.42
"pos-controls-5997"	90.68	87.56
"pos-controls-5998"	98.92	78.43
"pos-controls-5999"	78.72	87.87
"pos-controls-6000"	66.11	94.05
"pos-controls-6029"	200.88	208.51
"pos-controls-6030"	207.92	194.94
"pos-controls-6031"	236.43	184.57
"pos-controls-6032"	198.33	199.83
"pos-controls-6097"	145.84	137.08
"pos-controls-6098"	157.97	129.59
"pos-controls-6099"	72.83	111.35
"pos-controls-6100"	130.35	107.43
