"Reporter Name"	"MX_NE_rawData_r1"	"MX_NE_rawData_r2"
"pos-controls-5581"	178.77	260.36
"pos-controls-5582"	173.87	259.84
"pos-controls-5583"	193.07	281.13
"pos-controls-5584"	180.37	251.22
"pos-controls-5613"	235.41	438.68
"pos-controls-5614"	221.81	545.01
"pos-controls-5615"	218.31	431.74
"pos-controls-5616"	296	387.47
"pos-controls-5617"	118.32	119.4
"pos-controls-5618"	90.59	114.69
"pos-controls-5619"	100.41	139.02
"pos-controls-5620"	130.97	162.21
"pos-controls-5753"	1673.36	2422.68
"pos-controls-5754"	1459.05	2038.68
"pos-controls-5755"	1587.47	2930.92
"pos-controls-5756"	1366.78	1899.97
"pos-controls-5781"	64.51	104.32
"pos-controls-5782"	73.18	123.64
"pos-controls-5783"	75.1	117.36
"pos-controls-5784"	71.17	113.3
"pos-controls-5785"	47.22	77.31
"pos-controls-5786"	54.67	106.25
"pos-controls-5787"	56.25	110.8
"pos-controls-5788"	61.58	84.52
"pos-controls-5845"	59.49	100.54
"pos-controls-5846"	65.88	95.5
"pos-controls-5847"	54.98	109.84
"pos-controls-5848"	71.96	92.41
"pos-controls-5869"	669.36	263.97
"pos-controls-5870"	587.98	207.58
"pos-controls-5871"	750.88	198.05
"pos-controls-5872"	861.82	554.25
"pos-controls-5925"	128.32	138.02
"pos-controls-5926"	113.44	152.28
"pos-controls-5927"	114.83	185.34
"pos-controls-5928"	124.42	174.35
"pos-controls-5965"	77.66	155.78
"pos-controls-5966"	74.11	130.21
"pos-controls-5967"	70.85	96.98
"pos-controls-5968"	80.27	126.22
"pos-controls-5969"	81.06	189.89
"pos-controls-5970"	74.96	147.86
"pos-controls-5971"	95.85	186.38
"pos-controls-5972"	75.88	165.26
"pos-controls-5993"	156.29	160.97
"pos-controls-5994"	161.19	127.5
"pos-controls-5995"	151.54	136.96
"pos-controls-5996"	143.83	139.79
"pos-controls-5997"	68.37	99.92
"pos-controls-5998"	55.83	94.87
"pos-controls-5999"	78.56	83.11
"pos-controls-6000"	58.61	75.68
"pos-controls-6029"	211.95	283.88
"pos-controls-6030"	212.65	268.65
"pos-controls-6031"	247.85	216.13
"pos-controls-6032"	179.41	282.36
"pos-controls-6097"	196.35	312.87
"pos-controls-6098"	174.87	321.41
"pos-controls-6099"	183.51	266
"pos-controls-6100"	221.19	448.14
