"Reporter Name"	"US_PO_rawData_r1"	"US_PO_rawData_r2"
"pos-controls-6344"	100.99	103.15
"pos-controls-6345"	214.71	181.6
"pos-controls-6346"	205.02	190.13
"pos-controls-6347"	203.63	188.45
"pos-controls-6348"	200.11	187.72
"pos-controls-6457"	8431.17	5860.05
"pos-controls-6458"	8773.58	9261.02
"pos-controls-6459"	9065.95	9048.94
"pos-controls-6460"	10004.85	10075.07
"pos-controls-6461"	92.16	93.72
"pos-controls-6462"	69.46	73.53
"pos-controls-6463"	87.46	102.49
"pos-controls-6464"	66.33	88.1
"pos-controls-6465"	5275.45	5098.28
"pos-controls-6466"	5446.28	5123.95
"pos-controls-6467"	5782.95	5437.92
"pos-controls-6468"	4838.06	4557.43
"pos-controls-6469"	81	84.06
"pos-controls-6470"	88.87	89.09
"pos-controls-6471"	98.23	81.64
"pos-controls-6472"	86.18	79.22
"pos-controls-6509"	9332.58	10099.51
"pos-controls-6510"	9551.49	10590.72
"pos-controls-6511"	10111.92	10606.64
"pos-controls-6512"	9599.1	9321.27
"pos-controls-6529"	38975.88	32668.77
"pos-controls-6530"	37792.81	31428.28
"pos-controls-6531"	40531.53	36055.47
"pos-controls-6532"	34966.66	36361.82
"tcruzi-351"	11914.74	10453.98
"tcruzi-973"	24960.96	23197.36
"tcruzi-1480"	29205.92	29871.76
"tcruzi-1484"	33811.16	33515.17
"tcruzi-1485"	40480.4	40275.45
"tcruzi-1489"	39547.14	39520.01
"tcruzi-1491"	42338.86	41463.92
"tcruzi-1492"	39851.83	39912.76
"tcruzi-1493"	18808.31	17820.22
"tcruzi-1494"	32713.96	31669.78
"tcruzi-1495"	33410.08	30561.1
"tcruzi-1496"	30931.48	27357.1
"tcruzi-1969"	144.35	120.07
"tcruzi-2082"	47.88	55.58
"tcruzi-2759"	101.26	81.57
"tcruzi-2980"	44.16	40.38
"tcruzi-3292"	15406.35	14699.87
"tcruzi-4076"	39.54	47.12
"tcruzi-5424"	154.57	136.99
"tcruzi-6869"	162.53	172.66
"tcruzi-8451"	4628.23	4685.28
"tcruzi-8453"	32165.33	30188.59
"tcruzi-8454"	30687.83	31202.05
"tcruzi-8457"	31382.83	32591.33
"tcruzi-8460"	34210.67	32808.34
"tcruzi-8461"	33848.79	31947.94
"tcruzi-8497"	248.12	200.39
"tcruzi-11286"	105.51	122.08
"tcruzi-11494"	226.9	222.89
"tcruzi-11689"	491.58	481.06
"tcruzi-11690"	42402.71	43353.24
"tcruzi-11758"	147.89	173.22
"tcruzi-11840"	69.03	82.49
"tcruzi-12984"	6794.9	8290.88
"tcruzi-13922"	2212.51	1938.17
"tcruzi-19981"	59.1	54.82
"tcruzi-20087"	100.52	71.31
"tcruzi-20377"	61.06	63.13
"tcruzi-21031"	196.54	159.73
"tcruzi-21625"	15148.62	15757.1
"tcruzi-22236"	576.24	567.53
"tcruzi-22421"	428.07	417.19
"tcruzi-22486"	65.57	60.42
"tcruzi-22732"	127.94	115.67
"tcruzi-23056"	67.42	7462.97
"tcruzi-23252"	61.2	48.55
"tcruzi-28344"	137.04	137.93
"tcruzi-28355"	54.13	59.57
"tcruzi-29043"	59.84	64.72
"tcruzi-33515"	59.25	67.3
"tcruzi-36290"	50.3	40.58
"tcruzi-37373"	90.51	71.15
"tcruzi-37894"	51.89	54.78
"tcruzi-39216"	75.76	126.46
"tcruzi-39860"	163.92	180.39
"tcruzi-40101"	227.74	224.53
"tcruzi-40353"	349.11	386.75
"tcruzi-40405"	200.41	235.55
"tcruzi-42465"	72.22	84.86
"tcruzi-43795"	812.96	882.62
"tcruzi-43847"	1933.82	1927.16
"tcruzi-45055"	97.86	117.04
"tcruzi-45274"	257.64	375.43
"tcruzi-46089"	70.72	65.44
"tcruzi-47363"	45098.37	44939.77
"tcruzi-47364"	46606.18	43957.57
