"Reporter Name"	"US_PO_normalizedData_r1"	"US_PO_normalizedData_r2"
"pos-controls-6149"	288.66	218.13
"pos-controls-615"	20851.91	21526.26
"pos-controls-6150"	576.82	507.63
"pos-controls-6151"	202.11	407.82
"pos-controls-6152"	551.56	244.37
"pos-controls-616"	21887.7	22261.69
"pos-controls-6221"	6260.49	6721.06
"pos-controls-6222"	5768.38	6295.02
"pos-controls-6223"	7428.38	7630.29
"pos-controls-6224"	7460.92	7180.76
"pos-controls-6225"	20092.68	19791.38
"pos-controls-6226"	20274.42	19360.85
"pos-controls-6227"	20942.74	21060.33
"pos-controls-6228"	19714.86	20199.26
"pos-controls-6249"	9626.16	8695.35
"pos-controls-6250"	10079.49	9626.16
"pos-controls-6251"	9944.39	9905.38
"pos-controls-6252"	7358.72	7130.1
"pos-controls-6273"	21804.14	22534.95
"pos-controls-6274"	21392.89	21137.2
"pos-controls-6275"	21060.33	21604.7
"pos-controls-6276"	19897.16	22363.58
"pos-controls-6333"	218.38	308.81
"pos-controls-6334"	729.81	336.82
"pos-controls-6335"	266.31	238.72
"pos-controls-6336"	337.26	199.84
"pos-controls-6341"	188.41	190.28
"pos-controls-6342"	169.69	194.78
"pos-controls-6343"	202.35	136.19
"pos-controls-6344"	161.37	162.06
"pos-controls-6345"	355.2	295.92
"pos-controls-6346"	341.94	315.36
"pos-controls-6347"	339.94	311.61
"pos-controls-6348"	335.94	310.48
"pos-controls-6457"	12369.36	7750.45
"pos-controls-6458"	12735.84	13405.49
"pos-controls-6459"	13090.43	13090.43
"pos-controls-6460"	14250.14	14353.89
"pos-controls-6461"	143.92	145.02
"pos-controls-6462"	101.74	109.02
"pos-controls-6463"	135.21	161.37
"pos-controls-6464"	95.65	136.08
"pos-controls-6465"	6760.08	6637.28
"pos-controls-6466"	6971.96	6661.89
"pos-controls-6467"	7630.29	7105.6
"pos-controls-6468"	6154.62	6000.86
"pos-controls-6469"	124.91	128.09
"pos-controls-6470"	136.53	137.98
"pos-controls-6471"	155.17	124
"pos-controls-6472"	133.75	119.52
"pos-controls-6509"	13248.06	14431.31
"pos-controls-6510"	13591.59	15221.86
"pos-controls-6511"	14431.31	15303.31
"pos-controls-6512"	13629.13	13540
"pos-controls-6529"	38754.66	30798.25
"pos-controls-6530"	36886.26	28909.02
"pos-controls-6531"	40883.76	35084.65
"pos-controls-6532"	32354.03	35813.84
"pos-controls-705"	237.14	264.45
"pos-controls-706"	229.12	259.2
"pos-controls-707"	274.01	260.89
"pos-controls-708"	298.18	269.2
"pos-controls-773"	8829.18	11965.26
"pos-controls-774"	9690.16	10157.54
"pos-controls-775"	9481.03	10079.49
"pos-controls-776"	10526.19	11526.83
"pos-controls-777"	10118.45	9270.05
"pos-controls-778"	11183.68	10579.5
"pos-controls-779"	11261.19	11593.62
"pos-controls-780"	8601.79	8735.99
"pos-controls-813"	105.72	168.34
"pos-controls-814"	98.64	102.33
"pos-controls-815"	208.39	172.41
"pos-controls-816"	104.75	117.52
"pos-controls-829"	838.01	975.47
"pos-controls-830"	1132.52	1114.65
"pos-controls-831"	774.09	967.44
"pos-controls-832"	1010.82	971.08
"pos-controls-893"	89.17	89.81
"pos-controls-894"	102.36	121.61
"pos-controls-895"	157.39	148.84
"pos-controls-896"	154.6	143.52
"pos-controls-949"	12635.31	12884.26
"pos-controls-950"	13443.19	13770.17
"pos-controls-951"	13910.44	13829.83
"pos-controls-952"	12581.86	13698.2
"pos-controls-953"	42600.38	38898.06
"pos-controls-954"	43982.79	40774.77
"pos-controls-955"	37404.91	38606.08
"pos-controls-956"	37845.02	33661.87
"tcruzi-1000738"	732.34	727.19
"tcruzi-1001695"	1093.91	1328.95
"tcruzi-1001711"	112.35	105.68
"tcruzi-100230"	182.05	176.34
"tcruzi-1004100"	133.92	161.62
"tcruzi-100430"	257.01	253.14
"tcruzi-1005046"	250.09	207.9
"tcruzi-1005067"	187.05	223.42
"tcruzi-1005305"	634.3	782.21
"tcruzi-1005482"	149.95	145.48
"tcruzi-1007326"	173.29	111.2
"tcruzi-1007826"	2026.98	2174.18
"tcruzi-1007853"	1087.69	913.22
"tcruzi-1008370"	93.21	99.86
"tcruzi-100869"	1306.29	1311.54
"tcruzi-1010241"	415.87	287.83
"tcruzi-1010971"	162.35	209.33
"tcruzi-101139"	186.64	177.52
"tcruzi-1011528"	184.15	232.14
"tcruzi-1014035"	134.26	117.79
"tcruzi-1014467"	161.29	170.35
"tcruzi-1014513"	64.5	81.83
"tcruzi-1016586"	52.78	53.36
"tcruzi-1017121"	2165.1	2362.29
"tcruzi-1017825"	79.68	83.08
"tcruzi-1019097"	164.88	181.34
"tcruzi-1020644"	299.34	271.64
"tcruzi-102076"	117.31	114.39
"tcruzi-1022489"	312.64	341.29
"tcruzi-1023491"	1706.89	2508.16
"tcruzi-1023539"	247.85	239.32
"tcruzi-1024789"	346.09	218.55
"tcruzi-1025150"	370.96	184.45
"tcruzi-1025367"	243.84	200
"tcruzi-1025720"	7316.3	8198.34
"tcruzi-1025721"	4629.46	5228.85
"tcruzi-1026307"	44340.32	46611.34
"tcruzi-1026309"	38464.93	36886.26
"tcruzi-1026310"	35318.96	31540.85
"tcruzi-1026311"	23770.87	24957.87
"tcruzi-1026312"	27823.91	26863.44
"tcruzi-1026317"	32004.95	31378.91
"tcruzi-1027797"	4751.74	5361.22
"tcruzi-1028387"	72.8	64.46
"tcruzi-1028589"	199.7	193.94
"tcruzi-1028592"	35217.13	35385.97
"tcruzi-1028593"	40674.55	41436.15
"tcruzi-1028596"	46611.34	45393.5
"tcruzi-102951"	186.24	141.56
"tcruzi-1029730"	2563.07	2572.86
"tcruzi-102996"	50.07	55.19
"tcruzi-1030119"	48046.73	46783.5
"tcruzi-1030161"	133.4	119.43
"tcruzi-1031344"	583.24	578.3
"tcruzi-1032192"	229.87	264.71
"tcruzi-1032967"	623.42	672.99
