"Reporter Name"	"CO_PO_normalizedData_r1"	"CO_PO_normalizedData_r2"
"pos-controls-5845"	86.93	129.11
"pos-controls-5846"	80.45	87.24
"pos-controls-5847"	96.26	83.72
"pos-controls-5848"	172.41	150.47
"pos-controls-5869"	504.97	387.12
"pos-controls-5870"	409.86	437.45
"pos-controls-5871"	509.56	462.15
"pos-controls-5872"	602.08	558.72
"pos-controls-5925"	29675.34	29760.89
"pos-controls-5926"	26054.09	32253.6
"pos-controls-5927"	26500.95	32740.42
"pos-controls-5928"	28909.02	32484.07
"pos-controls-5965"	118.44	85.31
"pos-controls-5966"	125.61	111.83
"pos-controls-5967"	103.04	131.67
"pos-controls-5968"	119.75	131.9
"pos-controls-5969"	103.26	80.35
"pos-controls-5970"	94.4	96.29
"pos-controls-5971"	156.35	114.39
"pos-controls-5972"	121.33	107.46
"pos-controls-5993"	197.54	258.02
"pos-controls-5994"	270.75	277.74
"pos-controls-5995"	220.54	308.43
"pos-controls-5996"	244.15	278.57
"pos-controls-5997"	101.03	101.65
"pos-controls-5998"	148.84	140.33
"pos-controls-5999"	73.73	90.2
"pos-controls-6000"	87.06	98.71
"pos-controls-6029"	300.18	248.43
"pos-controls-6030"	297.47	230.84
"pos-controls-6031"	235.09	296.27
"pos-controls-6032"	334.11	356.15
"pos-controls-6097"	43982.79	46906.64
"pos-controls-6098"	50903.78	48840.48
"pos-controls-6099"	42492.45	45965.06
"pos-controls-6100"	52217.34	48334.01
"pos-controls-6109"	111.31	108.93
"pos-controls-6110"	73.39	77.09
"pos-controls-6111"	89.42	77.37
"pos-controls-6112"	68.68	53.69
"pos-controls-613"	21137.2	28991.39
"pos-controls-614"	21604.7	30089.3
"pos-controls-6149"	522.9	665.55
"pos-controls-615"	22793.06	27997.07
"pos-controls-6150"	506.01	524.31
"pos-controls-6151"	455.62	457.1
"pos-controls-6152"	511.61	547.45
"pos-controls-616"	22102.13	30410.69
"pos-controls-6221"	738.71	971.08
"pos-controls-6222"	991.02	1298.28
"pos-controls-6223"	1098.32	1510.24
"pos-controls-6224"	784.85	1318.51
"pos-controls-6225"	7572.01	4015.84
"pos-controls-6226"	8601.79	5037.42
"pos-controls-6227"	8551.21	6226.58
"pos-controls-6228"	8337.39	4449.42
"pos-controls-6249"	31454.93	35475.04
"pos-controls-6250"	33342.12	38754.66
"pos-controls-6251"	35953.05	39544.5
"pos-controls-6252"	29842.49	30944.24
"pos-controls-6273"	18178.6	24615.68
"pos-controls-6274"	17767.13	25940.49
"pos-controls-6275"	18279.45	25431.11
"pos-controls-6276"	18095.26	24298.46
"pos-controls-6333"	407.82	879.11
"pos-controls-6334"	397.99	784.85
"pos-controls-6335"	1339.72	952.21
"pos-controls-6336"	402.93	939.66
"pos-controls-6341"	145.96	158.5
"pos-controls-6342"	193.38	183.99
"pos-controls-6343"	128.99	140.96
"pos-controls-6344"	109.26	160.45
"pos-controls-6345"	268.09	294.68
"pos-controls-6346"	281.76	292.77
"pos-controls-6347"	318.3	315.86
"pos-controls-6348"	283.84	292.15
"pos-controls-6457"	10423.94	11754.5
"pos-controls-6458"	11261.19	16040.77
"pos-controls-6459"	10988.57	15562.39
"pos-controls-6460"	11446.46	16605.14
"pos-controls-6461"	86.9	145.02
"pos-controls-6462"	113.23	123.16
"pos-controls-6463"	126.2	115.6
