"Reporter Name"	"CO_NE_normalizedData_r1"	"CO_NE_normalizedData_r2"
"pos-controls-951"	138.3	179.8
"pos-controls-952"	163	216.81
"pos-controls-953"	91.6	123.43
"pos-controls-954"	95.37	110.95
"pos-controls-955"	109.52	71.2
"pos-controls-956"	113.6	90.65
"tcruzi-1000738"	84.9	88.85
"tcruzi-1001695"	227.09	115.23
"tcruzi-1001711"	888.78	236.15
"tcruzi-100230"	147.59	168.69
"tcruzi-1004100"	154.55	71.46
"tcruzi-100430"	85.85	87.63
"tcruzi-1005046"	81.15	88.6
"tcruzi-1005067"	94.92	93.21
"tcruzi-1005305"	8100.96	1118.14
"tcruzi-1005482"	106.27	69.54
"tcruzi-1007326"	87.56	86.02
"tcruzi-1007826"	71.1	74.54
"tcruzi-1007853"	74.92	67.66
"tcruzi-1008370"	61.91	50.17
"tcruzi-100869"	1876.36	2253.43
"tcruzi-1010241"	1014.84	381.96
"tcruzi-1010971"	171.56	110.3
"tcruzi-101139"	96.7	138.61
"tcruzi-1011528"	473.75	1123.25
"tcruzi-1014035"	84.7	123.56
"tcruzi-1014467"	118.43	73.83
"tcruzi-1014513"	57.73	62.17
"tcruzi-1016586"	49.04	43.03
"tcruzi-1017121"	6072.49	2238.6
"tcruzi-1017825"	71.65	75.26
"tcruzi-1019097"	124.4	75.91
"tcruzi-1020644"	194.69	148.33
"tcruzi-102076"	95.85	111.32
"tcruzi-1022489"	406.31	160.81
"tcruzi-1023491"	82.67	80.82
"tcruzi-1023539"	145.61	57.61
"tcruzi-1024789"	120.2	88.42
"tcruzi-1025150"	737.58	276.69
"tcruzi-1025367"	198	202.93
"tcruzi-1025720"	121.75	100.92
"tcruzi-1025721"	106.13	67.23
"tcruzi-1026307"	472.28	181.55
"tcruzi-1026309"	518.53	108.21
"tcruzi-1026310"	396.42	227.47
"tcruzi-1026311"	590.12	562.31
"tcruzi-1026312"	661.16	123.73
"tcruzi-1026317"	249.24	92.8
"tcruzi-1027797"	107.68	73.32
"tcruzi-1028387"	105.72	84.93
"tcruzi-1028589"	90.71	88.35
"tcruzi-1028592"	242.67	114.88
"tcruzi-1028593"	197.76	125.61
"tcruzi-1028596"	529.46	262.86
"tcruzi-102951"	283.73	353.19
"tcruzi-1029730"	1672.63	1188.3
"tcruzi-102996"	52.06	44.34
"tcruzi-1030119"	619.45	133.51
"tcruzi-1030161"	70.86	76.9
"tcruzi-1031344"	519.83	495.89
"tcruzi-1032192"	442.72	258.62
"tcruzi-1032967"	160.38	193.92
"tcruzi-1034083"	76.51	84.49
"tcruzi-1035077"	6626.94	8808.65
"tcruzi-1035078"	5497.09	5894.16
"tcruzi-1035080"	4500.9	8100.96
"tcruzi-1035095"	81.54	85.85
"tcruzi-1035330"	17015.45	20053.34
"tcruzi-1035452"	90.06	77.55
"tcruzi-1035831"	20053.34	17015.45
"tcruzi-1036424"	97.59	99.31
"tcruzi-1036899"	258.05	127.15
"tcruzi-1037510"	1344.02	1975.54
"tcruzi-1038739"	211.85	108.03
"tcruzi-1039442"	139.39	468.14
"tcruzi-1039443"	91.45	95.68
"tcruzi-1040693"	96.92	92.32
"tcruzi-1040731"	914.33	1575.89
"tcruzi-1041302"	443.82	113.58
"tcruzi-1041708"	12759.28	11884.43
"tcruzi-1041867"	148.59	126.92
"tcruzi-1042509"	70.23	62.26
"tcruzi-1043101"	261.39	102.17
"tcruzi-1043105"	137.21	75
"tcruzi-1043430"	151.81	172.14
"tcruzi-1043597"	75.42	92.24
"tcruzi-104363"	1221.64	947.64
"tcruzi-1045857"	67.66	68.4
"tcruzi-1047130"	370.28	211.19
"tcruzi-1047131"	734.86	317.57
"tcruzi-1047216"	84.76	107.54
"tcruzi-1048656"	85.8	85.34
"tcruzi-104933"	236.48	764.17
"tcruzi-1049456"	943.61	204.1
"tcruzi-1049457"	226.34	126.26
"tcruzi-1049459"	160.04	90.15
"tcruzi-1049460"	153.9	87.38
