"Reporter Name"	"BR_NE_normalizedData_r1"	"BR_NE_normalizedData_r2"
"pos-controls-5581"	221.84	384.47
"pos-controls-5582"	214.08	393.15
"pos-controls-5583"	210.55	413.22
"pos-controls-5584"	259.21	417.63
"pos-controls-5613"	536.11	1054.42
"pos-controls-5614"	585.55	1021.56
"pos-controls-5615"	458.29	836.98
"pos-controls-5616"	635.53	934.31
"pos-controls-5617"	123.02	122.77
"pos-controls-5618"	132.5	148.12
"pos-controls-5619"	151.34	165.47
"pos-controls-5620"	139.78	123.56
"pos-controls-5753"	103.14	255.86
"pos-controls-5754"	90.09	233.05
"pos-controls-5755"	91.77	293.95
"pos-controls-5756"	98.6	218.55
"pos-controls-5781"	95.77	93.74
"pos-controls-5782"	85.22	107.54
"pos-controls-5783"	88.83	102.8
"pos-controls-5784"	76.03	91.15
"pos-controls-5785"	60.07	78.19
"pos-controls-5786"	66.78	62.27
"pos-controls-5787"	75.51	63.73
"pos-controls-5788"	70.35	64.43
"pos-controls-5845"	57.05	68.98
"pos-controls-5846"	80.46	62.27
"pos-controls-5847"	74.86	83
"pos-controls-5848"	82.37	77.45
"pos-controls-5869"	228.83	176.3
"pos-controls-5870"	126.31	90.84
"pos-controls-5871"	147.01	93.87
"pos-controls-5872"	132.99	92.95
"pos-controls-5925"	126.57	189.21
"pos-controls-5926"	149.1	171.06
"pos-controls-5927"	159.33	197.5
"pos-controls-5928"	176.6	220.85
"pos-controls-5965"	76.14	108.15
"pos-controls-5966"	92	109.56
"pos-controls-5967"	92.72	106.77
"pos-controls-5968"	83.03	75.71
"pos-controls-5969"	101.02	144.6
"pos-controls-5970"	94.87	97.72
"pos-controls-5971"	92.52	96.28
"pos-controls-5972"	102.84	119.94
"pos-controls-5993"	170.44	167
"pos-controls-5994"	166.34	166.54
"pos-controls-5995"	208.8	171.83
"pos-controls-5996"	181.48	172.96
"pos-controls-5997"	87.42	94.74
"pos-controls-5998"	71.49	74.75
"pos-controls-5999"	65.83	58.85
"pos-controls-6000"	74.56	66.45
"pos-controls-6029"	274.46	385.54
"pos-controls-6030"	285.44	498.79
"pos-controls-6031"	279.9	288.48
"pos-controls-6032"	211.66	432.83
"pos-controls-6097"	262.66	211.85
"pos-controls-6098"	254.6	202.64
"pos-controls-6099"	220.63	222.29
"pos-controls-6100"	237.66	210.37
"pos-controls-6109"	70.48	87.61
"pos-controls-6110"	65.68	71.42
"pos-controls-6111"	65.99	71.81
"pos-controls-6112"	57.71	61.69
"pos-controls-613"	82.67	104.08
"pos-controls-614"	73.72	87.08
"pos-controls-6149"	87.61	205.32
"pos-controls-615"	71.86	101.12
"pos-controls-6150"	95.4	380.12
"pos-controls-6151"	102.47	238.25
"pos-controls-6152"	93.81	255.35
"pos-controls-616"	81.83	106.45
"pos-controls-6221"	133.89	151.91
"pos-controls-6222"	137.15	177.58
"pos-controls-6223"	148.59	163.29
"pos-controls-6224"	152.24	165.74
"pos-controls-6225"	203.1	353.91
"pos-controls-6226"	291.18	270.46
"pos-controls-6227"	262.43	268.08
"pos-controls-6228"	246.21	305.66
"pos-controls-6249"	170.69	499.56
"pos-controls-6250"	222.29	237.91
"pos-controls-6251"	189.57	292.4
"pos-controls-6252"	123.5	305.94
"pos-controls-6273"	103.65	168.22
"pos-controls-6274"	102.84	144.19
"pos-controls-6275"	89.88	149.44
"pos-controls-6276"	88.24	133.89
"pos-controls-6333"	74.71	146.94
"pos-controls-6334"	114.5	195.25
"pos-controls-6335"	76.51	125.61
"pos-controls-6336"	90.27	104.99
"pos-controls-6341"	106.72	182.5
"pos-controls-6342"	98.19	179.51
"pos-controls-6343"	95.56	147.33
"pos-controls-6344"	117.2	177.12
"pos-controls-6345"	229.85	379.49
"pos-controls-6346"	220.25	333.24
"pos-controls-6347"	227.19	338.28
"pos-controls-6348"	243.51	406.31
"pos-controls-6457"	108.57	111.72
"pos-controls-6458"	101.65	112.52
"pos-controls-6459"	119.77	113.35
"pos-controls-6460"	108.73	98.22
"pos-controls-6461"	69.19	61.54
"pos-controls-6462"	110.81	62.18
"pos-controls-6463"	67.14	75.33
"pos-controls-6464"	89.15	70.27
"pos-controls-6465"	159.4	157.94
"pos-controls-6466"	170.83	148.89
"pos-controls-6467"	155.39	177.23
"pos-controls-6468"	144.45	131.15
"pos-controls-6469"	101.58	136.79
"pos-controls-6470"	100.19	438.12
"pos-controls-6471"	96.18	89.15
"pos-controls-6472"	109.44	107.26
"pos-controls-6509"	148.7	215.23
"pos-controls-6510"	130.7	220.4
"pos-controls-6511"	185.67	173.45
"pos-controls-6512"	177.76	210.73
"pos-controls-6529"	99.38	100.42
"pos-controls-6530"	86.89	83.44
"pos-controls-6531"	98.47	89.34
"pos-controls-6532"	62.47	90.29
"pos-controls-705"	189.9	176.99
"pos-controls-706"	191.98	147.75
"pos-controls-707"	195.46	145.69
"pos-controls-708"	165.94	161.12
"pos-controls-773"	150.44	358.65
"pos-controls-774"	215.79	386.44
"pos-controls-775"	181.31	362.19
"pos-controls-776"	211.55	380.64
"pos-controls-777"	225.46	287.69
"pos-controls-778"	245.24	294.54
"pos-controls-779"	224.24	313.45
"pos-controls-780"	144.93	326.58
"pos-controls-813"	66.68	71.02
"pos-controls-814"	84.15	106.04
"pos-controls-815"	77.12	81.39
"pos-controls-816"	71.3	79.16
"pos-controls-829"	173.97	132.83
"pos-controls-830"	169.55	116.92
"pos-controls-831"	127.36	98.05
"pos-controls-832"	124.78	151.63
"pos-controls-893"	80.75	67.14
"pos-controls-894"	68.93	81.29
"pos-controls-895"	71.71	76.25
"pos-controls-896"	79.54	90.21
"pos-controls-949"	193.43	283.15
"pos-controls-950"	243.21	250.78
"pos-controls-951"	233.05	254.6
"pos-controls-952"	170.13	277.13
"pos-controls-953"	109.27	145.1
"pos-controls-954"	111.27	145.35
"pos-controls-955"	102.7	114.36
"pos-controls-956"	97.41	122.68
"tcruzi-1000738"	70.44	74.37
"tcruzi-1001695"	169.01	143.28
"tcruzi-1001711"	77.64	53.98
"tcruzi-100230"	165.57	179.14
"tcruzi-1004100"	111	84.57
"tcruzi-100430"	105.86	90.76
"tcruzi-1005046"	283.45	100.34
"tcruzi-1005067"	146.18	99.84
"tcruzi-1005305"	145.69	125.36
"tcruzi-1005482"	81.29	77.75
"tcruzi-1007326"	90.09	70.32
"tcruzi-1007826"	74.37	76.58
"tcruzi-1007853"	84.92	85.44
"tcruzi-1008370"	93.21	77.61
"tcruzi-100869"	665.73	599.4
"tcruzi-1010241"	112.52	121.57
"tcruzi-1010971"	160.04	111.04
"tcruzi-101139"	82.45	83.03
