"Reporter Name"	"LE_NE_normalizedData_r1"	"LE_NE_normalizedData_r2"
"pos-controls-6334"	76.75	95.24
"pos-controls-6335"	71.28	82.82
"pos-controls-6336"	72.65	84.34
"pos-controls-6341"	86.16	90.89
"pos-controls-6342"	93.39	84.02
"pos-controls-6343"	89.12	88.29
"pos-controls-6344"	90.49	81.98
"pos-controls-6345"	161.48	126.53
"pos-controls-6346"	164.27	127.65
"pos-controls-6347"	132.94	149.63
"pos-controls-6348"	157.02	146.78
"pos-controls-6457"	133.48	113.47
"pos-controls-6458"	134.02	131.15
"pos-controls-6459"	126.43	128.22
"pos-controls-6460"	131.92	136.9
"pos-controls-6461"	91.13	62.17
"pos-controls-6462"	73.76	71.52
"pos-controls-6463"	77.64	79.25
"pos-controls-6464"	72.26	74.58
"pos-controls-6465"	396.42	305.66
"pos-controls-6466"	435.01	393.15
"pos-controls-6467"	438.12	377.67
"pos-controls-6468"	372.93	416.97
"pos-controls-6469"	143.68	170.69
"pos-controls-6470"	157.94	177.36
"pos-controls-6471"	149.44	192.61
"pos-controls-6472"	114.11	136.98
"pos-controls-6509"	114.75	149.55
"pos-controls-6510"	101.45	108.9
"pos-controls-6511"	121.69	112.85
"pos-controls-6512"	116.35	129.21
"pos-controls-6529"	82.17	75.2
"pos-controls-6530"	76.17	74.4
"pos-controls-6531"	81.17	90.58
"pos-controls-6532"	88.08	68.73
"pos-controls-705"	102.29	131.64
"pos-controls-706"	113.47	111.91
"pos-controls-707"	117.76	102.74
"pos-controls-708"	111.77	111.04
"pos-controls-773"	1176.24	1107.74
"pos-controls-774"	1102.49	1182.87
"pos-controls-775"	1355.75	1551.07
"pos-controls-776"	1876.36	2416.18
"pos-controls-777"	1221.64	1014.84
"pos-controls-778"	1322.65	1011.85
"pos-controls-779"	1167.85	951.02
"pos-controls-780"	1551.07	2061.28
"pos-controls-813"	66.48	75.13
"pos-controls-814"	68.44	68.34
"pos-controls-815"	68.34	68.07
"pos-controls-816"	84.1	85.85
"pos-controls-829"	215.97	221.38
"pos-controls-830"	229.46	258.62
"pos-controls-831"	216.63	179.4
"pos-controls-832"	206.26	231.08
"pos-controls-893"	78.31	64.22
"pos-controls-894"	63.54	95.71
"pos-controls-895"	68.17	69.41
"pos-controls-896"	79.96	83.37
"pos-controls-949"	130.7	158.87
"pos-controls-950"	151.81	142.84
"pos-controls-951"	132.23	135.28
"pos-controls-952"	147.5	149.35
"pos-controls-953"	90.03	94.03
"pos-controls-954"	98.55	97.92
"pos-controls-955"	92.85	109.54
"pos-controls-956"	85.26	90.76
"tcruzi-1000738"	87.03	71.16
"tcruzi-1001695"	264.12	303.98
"tcruzi-1001711"	123.99	103.8
"tcruzi-100230"	247.84	158.96
"tcruzi-1004100"	97.79	90.27
"tcruzi-100430"	76	95.99
"tcruzi-1005046"	96.46	131.23
"tcruzi-1005067"	92.24	91.13
"tcruzi-1005305"	221.6	234.61
"tcruzi-1005482"	125.86	110.12
"tcruzi-1007326"	72.39	69.65
"tcruzi-1007826"	56.82	74.21
"tcruzi-1007853"	76.19	67.56
"tcruzi-1008370"	69.65	82.85
"tcruzi-100869"	304.36	353.91
"tcruzi-1010241"	533.96	669.9
"tcruzi-1010971"	91.22	96.52
"tcruzi-101139"	94.08	87.61
"tcruzi-1011528"	135.28	128.05
"tcruzi-1014035"	79.25	75.29
"tcruzi-1014467"	80.26	85.42
"tcruzi-1014513"	155.5	140.49
"tcruzi-1016586"	51.83	48.96
"tcruzi-1017121"	494.26	494.26
"tcruzi-1017825"	57.05	50.06
"tcruzi-1019097"	106.52	143.88
"tcruzi-1020644"	183.06	188.73
"tcruzi-102076"	6879.93	7230.82
"tcruzi-1022489"	226.84	203.47
"tcruzi-1023491"	95.4	99.72
"tcruzi-1023539"	104.38	107.88
"tcruzi-1024789"	87.42	100.19
"tcruzi-1025150"	306.44	300.77
"tcruzi-1025367"	363.35	288.48
"tcruzi-1025720"	160.43	172.81
"tcruzi-1025721"	148.7	148.89
"tcruzi-1026307"	888.78	693.17
"tcruzi-1026309"	718.83	635.53
"tcruzi-1026310"	437.37	473.75
"tcruzi-1026311"	799.62	726.08
"tcruzi-1026312"	603.87	632.1
"tcruzi-1026317"	476.66	391.01
"tcruzi-1027797"	2061.28	107.09
"tcruzi-1028387"	94.74	90.68
"tcruzi-1028589"	121.97	121.57
"tcruzi-1028592"	869.63	869.63
"tcruzi-1028593"	634.24	601.8
"tcruzi-1028596"	499.56	486.42
"tcruzi-102951"	2238.6	1502.65
"tcruzi-1029730"	357.47	389.21
"tcruzi-102996"	41.83	47.38
"tcruzi-1030119"	1216.6	1210.59
"tcruzi-1030161"	101.1	78.49
"tcruzi-1031344"	244.35	372.32
"tcruzi-1032192"	162.69	177.9
"tcruzi-1032967"	147.42	162.18
"tcruzi-1034083"	127.88	108.15
"tcruzi-1035077"	115.42	118.21
"tcruzi-1035078"	414.99	433.84
"tcruzi-1035080"	96.68	94.24
"tcruzi-1035095"	54.24	47.26
"tcruzi-1035330"	337.3	338.89
"tcruzi-1035452"	74.66	64.88
"tcruzi-1035831"	755.22	695.37
"tcruzi-1036424"	137.45	135.11
