"Reporter Name"	"MX_PO_normalizedData_r1"	"MX_PO_normalizedData_r2"
"pos-controls-5580"	205.12	307.08
"pos-controls-5581"	237.61	296.65
"pos-controls-5582"	371.58	380.08
"pos-controls-5583"	224.26	297.18
"pos-controls-5584"	263.69	267.59
"pos-controls-5613"	1616.67	2597.74
"pos-controls-5614"	1700.97	2697.39
"pos-controls-5615"	1629.85	1968.94
"pos-controls-5616"	1636.87	2130.73
"pos-controls-5617"	42310.47	40674.55
"pos-controls-5618"	43927.05	44340.32
"pos-controls-5619"	44866.13	47663.88
"pos-controls-5620"	41730.98	42552.72
"pos-controls-5753"	152.47	214.88
"pos-controls-5754"	108.48	221.76
"pos-controls-5755"	108.93	347.93
"pos-controls-5756"	144.09	209.01
"pos-controls-5781"	109.06	98.44
"pos-controls-5782"	98.54	112.24
"pos-controls-5783"	85.1	176.54
"pos-controls-5784"	102.15	114.62
"pos-controls-5785"	91.74	72.22
"pos-controls-5786"	67.95	81.07
"pos-controls-5787"	72.52	68.05
"pos-controls-5788"	79.58	99.38
"pos-controls-5845"	94.75	139
"pos-controls-5846"	117.23	105.13
"pos-controls-5847"	85.53	107.91
"pos-controls-5848"	180.06	224.83
"pos-controls-5869"	250.09	232.54
"pos-controls-5870"	227.12	234.31
"pos-controls-5871"	168.89	237.61
"pos-controls-5872"	179.03	189.22
"pos-controls-5925"	13591.59	26146.52
"pos-controls-5926"	16040.77	26663.28
"pos-controls-5927"	12440.93	27526.84
"pos-controls-5928"	19360.85	23612.35
"pos-controls-5965"	71.94	116.16
"pos-controls-5966"	142	133.75
"pos-controls-5967"	76.7	107.2
"pos-controls-5968"	105.33	145.38
"pos-controls-5969"	127.47	118.78
"pos-controls-5970"	89.07	118.19
"pos-controls-5971"	109.56	122.89
"pos-controls-5972"	91.51	116.73
"pos-controls-5993"	232.88	223.42
"pos-controls-5994"	199.36	267.09
"pos-controls-5995"	170.08	245.12
"pos-controls-5996"	205.37	216.95
"pos-controls-5997"	201.98	204.38
"pos-controls-5998"	266.31	201.43
"pos-controls-5999"	179.92	173.29
"pos-controls-6000"	207.8	178.82
"pos-controls-6029"	271.43	245.94
"pos-controls-6030"	250.32	210.06
"pos-controls-6031"	294.68	266.56
"pos-controls-6032"	317.26	255.77
"pos-controls-6097"	30012.8	35038.88
"pos-controls-6098"	39136.1	36022.18
"pos-controls-6099"	31540.85	38754.66
"pos-controls-6100"	40825.51	44510.88
"pos-controls-6109"	181.04	147.32
"pos-controls-6110"	126.82	137.98
"pos-controls-6111"	141.22	114.36
"pos-controls-6112"	150.08	132.15
"pos-controls-613"	23005.74	27997.07
"pos-controls-614"	27922.99	29518.27
"pos-controls-6149"	361.8	509.56
"pos-controls-615"	22363.58	26298.6
"pos-controls-6150"	402.93	397.99
"pos-controls-6151"	353.01	300.9
"pos-controls-6152"	331.98	399.97
"pos-controls-616"	24407.89	27614.74
"pos-controls-6221"	13004.44	21060.33
"pos-controls-6222"	12831.07	19714.86
"pos-controls-6223"	18634.22	25249.07
"pos-controls-6224"	15303.31	20199.26
"pos-controls-6225"	9218.54	8057.26
"pos-controls-6226"	9481.03	8198.34
"pos-controls-6227"	10403.06	9129.79
"pos-controls-6228"	8992.4	9690.16
"pos-controls-6249"	33462.27	35813.84
"pos-controls-6250"	35084.65	34854.39
"pos-controls-6251"	33819.07	37404.91
"pos-controls-6252"	29184.71	32816.56
"pos-controls-6273"	20274.42	29184.71
"pos-controls-6274"	21717.3	29585.31
"pos-controls-6275"	23326.25	29842.49
"pos-controls-6276"	22261.69	31084.85
"pos-controls-6333"	411.54	233.35
"pos-controls-6334"	491.25	321.52
"pos-controls-6335"	465.73	471.69
"pos-controls-6336"	433.13	458.73
"pos-controls-6341"	111.57	128.79
"pos-controls-6342"	122.79	114.84
"pos-controls-6343"	115.44	95.82
"pos-controls-6344"	109.68	143.27
"pos-controls-6345"	238.96	238.96
"pos-controls-6346"	252.5	260.89
"pos-controls-6347"	241.38	262.7
"pos-controls-6348"	241.95	247.1
"pos-controls-6457"	12018.83	17084.54
"pos-controls-6458"	12937.94	21137.2
"pos-controls-6459"	13540	20508.69
"pos-controls-6460"	16864.32	20604.89
"pos-controls-6461"	105.13	102.51
"pos-controls-6462"	102.54	206.9
"pos-controls-6463"	84.06	89.94
"pos-controls-6464"	88.44	79.68
